Item,Condition,Current Qty,Par Qty,Minimum Restock,Unit,Vendor,Category,Code (copy to gform),PNS,TRIGGER,Merged Doc ID - Sarkop Stock Opname PDF,Merged Doc URL - Sarkop Stock Opname PDF,Link to merged Doc - Sarkop Stock Opname PDF,Document Merge Status - Sarkop Stock Opname PDF
Bayam Krispi (Bakri),-,3,3,6,box medium,-,Bahan Prep,Bayam Krispi (Bakri) [box medium],Hadi,FALSE,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Sambal,-,4,2,4,box kecil,-,Bahan Prep,Sambal [box kecil],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ayam Suwir,Bahaya!,0,24,48,porsi,-,Bahan Prep,Ayam Suwir [porsi],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Base Nasgor,-,3,2,4,box kecil,-,Bahan Prep,Base Nasgor [box kecil],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Base Carbonara,Bahaya!,0,3,6,box kecil,-,Bahan Prep,Base Carbonara [box kecil],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Ayam Sous Vide (Chicken Carbonara),-,4,1,2,vacuum pack,-,Bahan Prep,Ayam Sous Vide (Chicken Carbonara) [vacuum pack],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Saus Tiram,Low,2,3,6,pack 1 liter,Online,Bahan Krusial,Saus Tiram [pack 1 liter],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Lada,Bahaya!,2,6,12,pack 100 gr,Online,Bahan Krusial,Lada [pack 100 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Kaldu Jamur,-,8,3,6,pack 1 kg,Online,Bahan Krusial,Kaldu Jamur [pack 1 kg],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Beef Shortplate,-,20,12,24,pack 500 gr,Barokah,Bahan Krusial,Beef Shortplate [pack 500 gr],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
